id,title,date,time,end_time,venue,description,category,website,free,recurring,recur_count,images
1,"Vital Vocals ... Karaoke sing along",2026-05-27,"7:00 PM","11:00 PM","La Galerie, Exit 473","Bring your voice, bring your crew and enjoy the musical vibes and the amazing flavours of Taste Jamaica Jerk, Soo delicious restaurant and more",music,#,true,weekly,4,images/events/1/ev_1778637379_2926.png|images/events/1/ev_1779193714_6604.png
2,"Island Nights",2026-06-06,"6:00 pm","10:00 PM","La Galerie","Join us for an intimate evening of familiar Caribbean flavour, presented through a refined contemporary lens.",food,#,true,weekly,6,images/events/2/ev_1780053343_5240.jpeg
